codigo_pais,pais,dep,ciudad,PROV,nomprov,sec,nombremunicipio,idloc,AsientoElectoral,dist,nomdist,zona,nomzona,CIRCUNDIST,RECI,recinto_electoral,cantidadMesas,inscritos_habilitados,Inhabilitados,Depurados
11,ARGENTINA,22,SALTA,7,GENERAL JOSÉ DE SAN MARTÍN,2,TARTAGAL,4380,TARTAGAL,1,DISTRITO TARTAGAL,1,TILCARA,0,26092,SALÓN DE LA CULTURA,1,72,1,0
11,ARGENTINA,22,SALTA,8,ORÁN,1,SAN RAMÓN DE LA NUEVA ORÁN,3765,SAN RAMÓN DE LA NUEVA ORÁN,1,DISTRITO ORAN,101,ZONA ORAN,0,25090,ESCUELA DE COMERCIO JULIO CORTEZ Nº 5091,5,1083,2,2
11,ARGENTINA,90,SAN JUAN,1,POCITO,1,POCITO,4381,LA RINCONADA - POCITO,1,DISTRITO LA RINCONADA - POCITO,1,LA RINCONADA - POCITO,0,26093,ESCUELA DR. ANTONIO ABERASTAIN SCHOOL,3,605,8,0
11,ARGENTINA,91,SAN LUIS,1,JUAN MARTÍN DE PUEYRREDÓN,1,SAN LUIS,4382,SAN LUIS,1,DISTRITO SAN LUIS,1,SAN LUIS,0,26094,ESCUELA NORMAL DE NINAS PAULA DOMINGUEZ DE BAZAN,2,384,4,0
11,ARGENTINA,92,SANTA CRUZ,1,DESEADO,1,DESEADO,4383,PUERTO DESEADO,1,DISTRITO PUERTO DESEADO,1,PUERTO DESEADO,0,26095,POR DEFINIR - PUERTO DESEADO,1,234,2,0
11,ARGENTINA,92,SANTA CRUZ,2,GÜER AIKE,1,GÜER AIKE,4384,RÍO GALLEGOS,1,DISTRITO RÍO GALLEGOS,1,RÍO GALLEGOS,0,26096,PASTORAL DE RÍO GALLEGOS,4,864,11,0
11,ARGENTINA,20,SANTA FE,4,SANTA FE,1,ROSARIO,3761,ROSARIO,1,DISTRITO ROSARIO,101,ZONA ROSARIO,0,25086,ESCUELA REPÚBLICA DE BOLIVIA,5,1185,8,1
11,ARGENTINA,93,TUCUMÁN,1,LULES,1,LULES,4385,LULES,1,DISTRITO LULES,1,LULES,0,26097,POR DEFINIR - LULES,2,433,5,0
17,AUSTRIA,60,VIENNA,1,VIENNA,1,VIENNA,3803,VIENNA,1,DISTRITO VIENNA,101,ZONA VIENNA,0,25128,EMBAJADA,1,100,0,0
24,BELGICA,62,BRUSELAS,1,BRUSELAS,1,BRUSELAS,3805,BRUSELAS,1,DISTRITO BRUSELAS,101,ZONA BRUSELAS,0,25130,CASA DE AMERICA LATINA,1,234,1,1
34,BRASIL,79,ACRE,7,BRASILEA,1,EPITACIOLÂNDIA,3896,EPITACIOLÂNDIA,1,DISTRITO EPITACIOLÂNDIA,101,ZONA VILA VITORIA,0,26114,ESCUELA ESTADUAL BRASIL BOLIVIA,1,68,1,0
34,BRASIL,32,DISTR. FEDERAL,2,BRASILIA,1,BRASILIA,3775,BRASILIA,1,DISTRITO BRASILIA,101,ZONA BRASILIA,0,25100,EMBAJADA DE BOLIVIA,1,96,2,0
34,BRASIL,78,M.GROSSO DO SUL,6,BAJO PANTANAL,1,CORUMBÁ,3897,CORUMBÁ,1,DISTRITO CORUMBA - MS,101,ZONA CORUMBA - MS,0,26115,CYRIACO FÉLIX DE TOLEDO,1,232,1,5
34,BRASIL,34,MATO GROSSO,4,CACERES,1,CACERES,3777,CACERES,1,DISTRITO CACERES,101,ZONA CACERES,0,25102,ESCOLA MUNICIPAL BUSCANDO O SABER,1,141,1,0
34,BRASIL,33,RIO DE JANEIRO,3,RIO DE JANEIRO,1,RIO DE JANEIRO,3776,RIO DE JANEIRO,1,DISTRITO RIO DE JANEIRO,101,ZONA RIO DE JANEIRO,0,25101,CONSULADO,2,314,1,4
